feature,ridge_coef_standardized,abs_coef,feature_group
log_budget,0.475413,0.475413,metadata
vote_count,0.442161,0.442161,metadata
popularity,0.269423,0.269423,metadata
nostalgia_mean,0.192857,0.192857,semantic
is_sequel_proxy,0.182594,0.182594,metadata
sequel_fatigue_mean,0.147885,0.147885,semantic
purchase_intent_mean,-0.141613,0.141613,semantic
genre_family,0.140087,0.140087,genre
skepticism_mean,-0.127799,0.127799,semantic
genre_comedy,-0.12418,0.12418,genre
genre_crime,-0.114887,0.114887,genre
genre_fantasy,0.079093,0.079093,genre
genre_thriller,-0.07367,0.07367,genre
cast_interest_mean,0.068323,0.068323,semantic
genre_adventure,0.061085,0.061085,genre
genre_drama,-0.051681,0.051681,genre
genre_scifi,-0.044901,0.044901,genre
vfx_excitement_mean,0.044763,0.044763,semantic
story_confusion_mean,-0.041858,0.041858,semantic
genre_animation,-0.041707,0.041707,genre
genre_horror,0.036393,0.036393,genre
vote_average,0.031305,0.031305,metadata
controversy_mean,-0.030705,0.030705,semantic
release_month,0.025786,0.025786,metadata
genre_action,0.01866,0.01866,genre
genre_romance,0.017964,0.017964,genre
hype_mean,-0.00378,0.00378,semantic
positive_sentiment_mean,-0.003561,0.003561,semantic
log_comment_count,0.0,0.0,engagement
log_batch_count,0.0,0.0,engagement
